央视,#genre#
汽摩-HD,http://111.48.34.237/PLTV/88888888/224/3221230076/1.m3u8
CCTV电视指南-HD,http://111.48.34.237/PLTV/88888888/224/3221230078/1.m3u8
CCTV高尔夫网球-FHD,http://111.48.34.237/PLTV/88888888/224/3221230085/1.m3u8
中央新影老故事-HD,http://111.48.34.237/PLTV/88888888/224/3221230087/1.m3u8
CCTV风云音乐-HD,http://111.48.34.237/PLTV/88888888/224/3221230089/1.m3u8
CCTV怀旧剧场-HD,http://111.48.34.237/PLTV/88888888/224/3221230091/1.m3u8
青海卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230101/1.m3u8
西藏卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230103/1.m3u8
贵州卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230138/1.m3u8
重庆卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230139/1.m3u8
四川卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230140/1.m3u8
海南卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230141/1.m3u8
河北卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230143/1.m3u8
CCTV兵器科技-FHD,http://111.48.34.237/PLTV/88888888/224/3221230162/1.m3u8
CETV2-HD,http://111.48.34.237/PLTV/88888888/224/3221230171/1.m3u8
CCTV央视台球-FHD,http://111.48.34.237/PLTV/88888888/224/3221230173/1.m3u8
广西卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230328/1.m3u8
咪咕视频-FHD,http://111.48.34.237/PLTV/88888888/224/3221230336/1.m3u8
文旅频道-FHD,http://111.48.34.237/PLTV/88888888/224/3221230344/1.m3u8
金鹰卡通-FHD,http://111.48.34.237/PLTV/88888888/224/3221230345/1.m3u8
外语6-FHD,http://111.48.34.237/PLTV/88888888/224/3221230352/1.m3u8
吉林卫视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230361/1.m3u8
云南卫视-HD,http://111.48.34.237/PLTV/88888888/224/3221230365/1.m3u8
经济旅游-FHD,http://111.48.34.237/PLTV/88888888/224/3221230368/1.m3u8
央视频-FHD,http://111.48.34.237/PLTV/88888888/224/3221230371/1.m3u8
湖北经视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230388/1.m3u8
CETV2-HD,http://111.48.34.237/PLTV/88888888/224/3221230389/1.m3u8
湖北垄上-FHD,http://111.48.34.237/PLTV/88888888/224/3221230390/1.m3u8
环球奇观-HD,http://111.48.34.237/PLTV/88888888/224/3221230392/1.m3u8
经济4-FHD,http://111.48.34.237/PLTV/88888888/224/3221230393/1.m3u8
CGTV-FHD,http://111.48.34.237/PLTV/88888888/224/3221230396/1.m3u8
CGTV西班牙-FHD,http://111.48.34.237/PLTV/88888888/224/3221230398/1.m3u8
CGTV阿拉伯-FHD,http://111.48.34.237/PLTV/88888888/224/3221230402/1.m3u8
湖北影视-FHD,http://111.48.34.237/PLTV/88888888/224/3221230404/1.m3u8
